gid;name;number_;address;open;available;free;total;ticket;updated_at;globalid;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
901622;42_AVDA. DE LA PLATA;42;Av. de la Plata (Museo Fallero);T;18;2;20;T;28/11/2022 10:51:09;{658C2DA5-528B-40AD-A153-7367A4F3FFD0};;;;;"{""coordinates"": [-0.3586583378805894, 39.45878127329601], ""type"": ""Point""}";39.45878127329601,-0.3586583378805894
901641;061_VICENTE VIDAL;61;Vicent Vidal - Pintor Maella;T;8;12;20;T;28/11/2022 10:51:09;{6EE689FC-94B7-4447-89FB-4BDA65511ECA};;;;;"{""coordinates"": [-0.34783029886743094, 39.46129327599964], ""type"": ""Point""}";39.46129327599964,-0.34783029886743094
901655;075_CAMPOAMOR I;75;República Argentina - Campoamor;T;4;21;25;T;28/11/2022 10:51:09;{548DA05A-0276-44F7-A768-67141D337E92};;;;;"{""coordinates"": [-0.35170130420295115, 39.472113313853896], ""type"": ""Point""}";39.472113313853896,-0.35170130420295115
901626;46_AVDA. INSTITUTO OBRERO DE VALENCIA;46;Pintor Luis Arcas - Inst. Obrero Valenciano;T;14;6;20;F;28/11/2022 10:51:09;{3D5DA54B-F3F3-4D7E-8280-5538A1E77621};;;;;"{""coordinates"": [-0.35878734087160885, 39.455509261762266], ""type"": ""Point""}";39.455509261762266,-0.35878734087160885
901646;066_GUILLEN DE ANGLESOLA;66;Guillem de Anglesola - Av. Puerto;T;1;23;25;F;28/11/2022 10:51:09;{97939B65-E808-4A63-990F-8B8C64190431};;;;;"{""coordinates"": [-0.3462612916525901, 39.46427128532339], ""type"": ""Point""}";39.46427128532339,-0.3462612916525901
901658;078_AVDA. ARAGÓN I;78;Aragón - Vicente Sancho Tello;T;19;1;20;T;28/11/2022 10:51:09;{847D598E-1625-42D9-8337-DF359985C0FB};;;;;"{""coordinates"": [-0.358688329939162, 39.46994531050937], ""type"": ""Point""}";39.46994531050937,-0.358688329939162
901660;080_AMADEO SAVOIA;80;Amadeo de Saboya (frente Ayuntamiento);T;21;4;25;F;28/11/2022 10:51:09;{35259F96-FDA2-4DDD-9666-6396620487B9};;;;;"{""coordinates"": [-0.36229833944736023, 39.47374232444908], ""type"": ""Point""}";39.47374232444908,-0.36229833944736023
901664;84_SERRERIA_ESQ_PINTOR FERRER CALATAYUD;84;Serrería, 67;T;0;15;15;F;28/11/2022 10:51:09;{169C0D94-765F-4654-B911-D9237CC55CC5};;;;;"{""coordinates"": [-0.3351652508188024, 39.46729429030231], ""type"": ""Point""}";39.46729429030231,-0.3351652508188024
901668;088_AVDA. BLASCO IBAÑEZ 3;88;Blasco Ibañez, 28 (F. Geografía e Historia);T;18;22;40;T;28/11/2022 10:51:09;{622A7D21-EAB7-4C71-8E5C-5F4F73323222};;;;;"{""coordinates"": [-0.36114233248377353, 39.477512336096844], ""type"": ""Point""}";39.477512336096844,-0.36114233248377353
901680;100_AVDA. BLASCO IBAÑEZ 9;100;Blasco Ibañez - Mestre Ripoll;T;0;20;20;F;28/11/2022 10:51:09;{7234B554-8C03-4377-B30F-E5FFDECBB901};;;;;"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}";39.471634305646866,-0.33815025853445674
901644;064_AVDA. DEL PUERTO II;64;Av. Puerto 61-63;T;2;18;20;F;28/11/2022 10:51:09;{FB4196D4-FAF7-4E56-AD86-7B5224283355};;;;;"{""coordinates"": [-0.35419531724959286, 39.46651829706714], ""type"": ""Point""}";39.46651829706714,-0.35419531724959286
901665;085_AVDA_BLASCO IBAÑEZ 1;85;Blasco Ibañez - Jaime Roig;T;8;12;23;F;28/11/2022 10:51:09;{6B18E4E2-97E1-41BB-935C-258F8175A41E};;;;;"{""coordinates"": [-0.3647153422684407, 39.479464345022826], ""type"": ""Point""}";39.479464345022826,-0.3647153422684407
901583;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;3;Plaza del Musico López Chavarri;T;5;15;20;T;28/11/2022 10:51:09;{CA034A06-DA7F-49A3-B6BB-3467D3DE3CFC};;;;;"{""coordinates"": [-0.3802883976424855, 39.4768353435743], ""type"": ""Point""}";39.4768353435743,-0.3802883976424855
901587;007_PZA_DEL_MERCADO_TAULA_DE_CANVIS;7;Plaza del Mercado - Taula de Canvis;T;6;13;19;T;28/11/2022 10:51:09;{A37E073E-270F-4BAE-9316-753DDA32BE35};;;;;"{""coordinates"": [-0.3791853952972924, 39.47487233593648], ""type"": ""Point""}";39.47487233593648,-0.3791853952972924
901589;009_PLAZA_TETUAN_4;9;Plaza de Tetuán;T;24;1;25;T;28/11/2022 10:51:09;{EDD30399-8156-4EF6-9289-2851BDD0B9D3};;;;;"{""coordinates"": [-0.3699303648826442, 39.47435533016869], ""type"": ""Point""}";39.47435533016869,-0.3699303648826442
901590;010_CALLE_DEL_HOSPITAL_FRENTE_CALLE_HORNO_DEL_HOSP;10;Hospital - Horno del Hospital;T;12;3;15;T;28/11/2022 10:51:09;{69D46C57-E2B5-4C6A-82A9-5872564B6029};;;;;"{""coordinates"": [-0.38261041097634013, 39.470816323984536], ""type"": ""Point""}";39.470816323984536,-0.38261041097634013
901592;012_CALLE_MINYANA;12;Calle Salvá - Calle Poeta Querol;T;8;11;20;T;28/11/2022 10:51:09;{FE75887B-DF4B-4537-BD7A-821DA2D0154C};;;;;"{""coordinates"": [-0.3740102862977963, 39.47196722343732], ""type"": ""Point""}";39.47196722343732,-0.3740102862977963
901604;024_GRAN_VIA_RAMON_Y_CAJAL;24;Fernando el Católico - Cuenca;T;2;18;20;T;28/11/2022 10:51:09;{491E1594-2579-420F-8872-F64FBCFAC8F1};;;;;"{""coordinates"": [-0.3840274173384119, 39.469077319212495], ""type"": ""Point""}";39.469077319212495,-0.3840274173384119
901606;026_CALLE_SAN_JOSE_DE_CALASANZ;26;San José de Calasanz - Salas Quiroga;T;0;15;15;F;28/11/2022 10:51:09;{9F8BAD21-9935-4390-844F-8A4D4035C4C8};;;;;"{""coordinates"": [-0.3860524260304749, 39.46619531059966], ""type"": ""Point""}";39.46619531059966,-0.3860524260304749
901608;028_NAVARRO REVERTE;28;Navarro Reverter - Grabador Esteve;T;25;4;29;F;28/11/2022 10:51:09;{A61B3E39-ABC2-4835-8FC8-6AD390DA58E8};;;;;"{""coordinates"": [-0.36775135880068294, 39.47158231958138], ""type"": ""Point""}";39.47158231958138,-0.36775135880068294
901612;032_C/ CONDE DE ALTEA;32;Conde Altea - Almirante Cadarso;T;12;8;20;T;28/11/2022 10:51:09;{452886F6-2BDB-4807-8961-08836B45135E};;;;;"{""coordinates"": [-0.3682473649948816, 39.46600630156446], ""type"": ""Point""}";39.46600630156446,-0.3682473649948816
901599;019_JUAN_LLORENS;19;Juan Llorens - Quart;T;1;14;15;F;28/11/2022 10:51:09;{47621D10-561C-4993-9284-753463112CCE};;;;;"{""coordinates"": [-0.391590438798602, 39.47436934054566], ""type"": ""Point""}";39.47436934054566,-0.391590438798602
901601;021_JUAN_LLORENS_29;21;Juan Llorens - Literato Gabriel Miró;T;6;10;16;T;28/11/2022 10:51:09;{B8591BB2-ECAD-4661-A099-710D670A5735};;;;;"{""coordinates"": [-0.39021443540491124, 39.4723713328859], ""type"": ""Point""}";39.4723713328859,-0.39021443540491124
